"","fua","turnover","sectorB","sectorC","sectorM","sectorK","sectorG","sectorD","sectorJ","sectorH","sectorF","sectorI","sectorO","sectorN","sectorL","sectorS","sectorE","sectorA","sectorR","sectorQ","sectorP","sectorT","sectorU","fuacountry","fuaname","X","Y","cluster","pop","gdp"
"1","8",9150809,0,0.0887931329350225,0.0387477216495285,0.149085288524763,0.261234170661851,0.216983219734998,0.0336758203564297,0.0461900144566453,0.0179449707670655,0.00227848707147095,0,0.00417351077921089,0.0278783001590351,0.000694911236809773,0.0004699038085048,0,0.00309557329849197,0.107333570179423,0.00142140438074929,0,0,"Austria","Innsbruck",11.4013600495351,47.2395134886423,3,NA,NA
"2","11",6852175,0,0.0747625389018815,0.468265623688829,0.00845819028264748,0.122718990685439,0.0381483251668266,0.0028630325407626,0.0182277889867086,0.0869881460995961,0.00324889542371583,0,0.119005133406546,0.0189982013010467,0.0161878527620792,0.00463400307201728,0,0.000638483401255806,0.0146263047864364,0.00222848949421169,0,0,"Belgium","Bredene",2.91101411581841,51.1640721673885,5,NA,NA
"3","15",33198824,0.00227267086328118,0.137647134729833,0.0254524377128539,0.00767003072157014,0.461629966169886,0.140590070298876,0.0665314530418306,0.039709448744329,0.0406838808507193,0.0080058558700754,0,0.0192948702038361,0.0230588589523533,0.000585472545654027,0.00718465208285691,0.000233863705533666,0.0105779048077125,0.00784729603675118,0.00102413266204851,0,0,"Bulgaria","Sofia",23.2954805327951,42.6823383723719,4,983259.854923248,25159091584
"4","42",24695635,0.0185735252403917,0.00836350229504121,0.00431112623749096,0.142241452791151,0.662617867489538,0,0.026575587143234,0.101085475226695,0.0247600031341571,0.00712692749143725,0,0.0018429167745636,8.64525249097664e-05,0.000163834620976541,0.000201007182038445,7.13891341526549e-05,0.000223723747131831,0.00160846238616662,0.000146746580924119,0,0,"Cyprus","Limassol",33.0347681288182,34.7032143618129,4,NA,NA
"5","43",9144733,0.0094930054272771,0.590619649584083,0.0137963568755917,0.00608197090062662,0.192030975644669,0.0165461364481609,0.0108206549059442,0.0415529901201052,0.0316924507254613,0.00450882491593795,0.0184002091695843,0.0116230840200583,0.00811231995510421,0.00208327569541943,0.00842889562767989,0.000276333929049651,0.00436229248027252,0.0213670535815534,0.00820351999342135,0,0,"CzechRepublic","Pilsen",13.3774678876757,49.7107160976581,1,142248.788154602,1786689024
"6","44",14517288,0,0.333340566089203,0.169311651046669,0.0474680945917722,0.129694334093255,0.195136378089351,0.0249844185773541,0.000290894552756686,0.00361376036626125,0,0,0.0244474036748462,0.0226226826939026,0.0160645707380056,0.000157674077968282,0,0.000361637793505233,0.0320678352595884,0.000438098355560625,0,0,"Germany","Heerlen",6.18443912432943,50.8332623442097,2,NA,NA
"7","46",4702910,0,0.141819639329692,0.112998122439086,0.361683085578929,0.249730911286842,0.0815148493166997,0.014102119751388,0.00357757218403074,0.0337450642261919,0.000647046190550106,0,3.14698771611619e-05,0,0,0,0,0.000150119819430948,0,0,0,0,"Denmark","Aalborg",9.91808851896387,57.0497968599887,3,100079.483985901,1217230720
"8","53",2114823,0,0.00455640968534955,0.0747012870580658,0.00117976776307048,0.159411449563391,8.88963284397796e-05,0.00141004708195438,0.0123613181812379,0.030974696227533,0.437171337743159,0.00454695262913256,0.102561301820531,0.146550798813896,0.00269289675779013,5.86337485453865e-05,0.000141382990444118,0.017851612168016,0.00257231929102341,0.00116889214842093,0,0,"Spain","Los Cristianos",-16.6933907379591,28.081289894062,3,NA,NA
"9","54",18722735,6.16362940563972e-05,0.171304139058743,0.0256248886714468,0.0068673193312836,0.457262841139396,0.0474320658814003,0.0597598053916802,0.0512312437258766,0.043954048380218,0.0344786165055479,0,0.0368986155067622,0.027091768376789,0.00134082974522686,0.0103716684554901,0.00338145041309403,0.0066257947890626,0.0157044897553696,0.000608778578557032,0,0,"Estonia","Tallinn",24.7640638851422,59.394340825413,4,NA,NA
"10","56",15575981,0.000232088110533776,0.462800063764844,0.116018631507062,0.0205504873176206,0.153368060734024,0.0303571248578179,0.0275549899553678,0.0253845969637482,0.0445096844943506,0.0128378430867372,0,0.0233988472379364,0.0505181021985068,0.00319845022923436,0.00854206229450331,0.00190793761240464,0.00325225101391688,0.0099690029154504,0.00559977570594109,0,0,"Finland","Turku",22.2967043367205,60.4856157953462,2,112491.971282959,1844038144
"11","58",7601537,0.000809704668937348,0.0692869086870195,0.0178328409109894,0.257791812366368,0.481481047845982,0.000281916670273393,0.00492755609819435,0.0293176235279786,0.0239427894648148,0.0420146609823776,0,0.0318010686523002,0.00261131400136578,0.000996114338455499,0.011858128165396,0,0.00601167895387472,0.0166588678052873,0.00237596686038626,0,0,"France","Brest",-4.46677421821772,48.4563693092639,4,142526.843170166,2434118912
"12","60",172693,0,0,0,0.186932880892682,0.156306277614032,0,0.00953136490766852,0,0,0.320198270920072,0,0.105597794930889,0,0.00700665342544284,0,0,0.0253397647849073,0.11086147093397,0.0782255215903366,0,0,"UnitedKingdom","Londonderry/Derry",-7.2765519277416,54.9504981940368,3,NA,NA
"13","69",190519,0,0.691143665461188,0,0,0.277646848870716,0.00364268130737617,0.00420430508243272,0,0.0233624992782872,0,0,0,0,0,0,0,0,0,0,0,0,"Greece","Ioannina",20.8390664647173,39.6604285166108,1,81720.3789978027,721342272
"14","75",1151323,0.00207413558141373,0.249069982967421,0.0316244876546373,0.00118385544282534,0.357400138796845,0.00010075365470854,0.0232593286158619,0.225592644288353,0.0154474461119946,0.0200491087210105,0,0.047338583525214,0.0127192803409643,0,0.00810111497815991,0.0042802931931352,0.000175450329751078,0.000586282042485037,0.000997113755218996,0,0,"Croatia","Rijeka",14.4069966219654,45.3580575577626,4,NA,NA
"15","77",14011,0,0.0974948254942545,0.0456070230533153,0.00456783955463564,0.538505459995718,0,0.0139176361430305,0.130254799800157,0.0550995646277924,0.0361858539718792,0,0.00742273927628292,0.039611733637856,0.00471058454071801,0,0,0.0105631289700949,0.003140389693812,0.0129184212404539,0,0,"Hungary","Sopron",16.6171316459865,47.6688289987061,4,50279.828125,625567808
"16","80",1755900,0,0.0416265163164189,0.0698963494504243,0.0443590181673216,0.120228942422689,0,0.568162765533345,0,0.0239740304117547,0.00995386981035366,0,0.0473358391707956,0,0.018126316988439,0,0,0,0.0516270858249331,0.00470926590352526,0,0,"Ireland","Galway",-8.9852659798668,53.3077310405046,3,65711.0933227539,881350592
"17","85",124637011,0.000129110926769577,0.480327163814928,0.10296050023215,0.0837088591606228,0.127162388385582,0.0159969256644,0.0346655858106225,0.0296498525626549,0.0371638164525624,0.00859037770089015,0,0.0363635485449824,0.0207932216859726,0.000768134595268816,0.00948363564334835,3.43397195236012e-06,0.00502733493825522,0.00648938059016836,0.000716729318869818,0,0,"Italy","Turin",7.6640532194897,45.046639121847,2,1205384.99981236,22715860992
"18","87",234339681,0.834108735515433,0.000431813338518627,0.0789253357394474,0,0.0784617906858037,0,0.00658687847236593,0,0.000876607833224796,0,0,0,0,0,0,0,0,0.000608838415206343,0,0,0,"Jersey","Saint Helier",-2.13522525875919,49.2060995653705,3,NA,NA
"19","103",344268358,0.000174735779812794,0.190608368370584,0.00458313104685619,0.175328700989709,0.232467919691882,0.000419919509419451,0.0432503878268127,0.0175534517174535,0.0159569326438069,0.000294043869114454,7.52116754221136e-05,0.284285380069696,0.00641479226505039,0.0255010772729802,0.000253877528878213,0,0.000240257340176468,0.00258067283662474,1.11395657221568e-05,0,0,"Luxembourg","Luxembourg",6.11780887612033,49.6281078975137,3,119160.479431152,5419212288
"20","104",769688,0.0022099863840933,0.19608984419661,0.00134470070989804,3.11814657367661e-05,0.29610049786407,0,0.00143564665163027,0.0570568853873258,0.314422207439898,0.00163832617891925,0,0.00411335502177506,0.00879837024872416,6.3662159212564e-05,0.00507738200413674,0.111420471671638,0.000197482616332852,0,0,0,0,"Latvia","Liepaja",21.0767644980418,56.479484395013,4,61689.0441436768,696407168
"21","114",20419624,0.0222046693905823,0.026440202816663,0.0493937106775326,0.315259673733463,0.0806715637858954,0.0130031287549663,0.0146163318188425,0.024045790461176,0.0042680021924008,0.0193651459987706,0,0.20266896197501,0.00161570066128544,0.000436002151655682,0,0.00295539232260104,0.187382147683033,0.000126398017906696,2.96283614233053e-05,0,0.0355175491967923,"Malta","Valletta",14.455378794213,35.8860188139256,3,NA,NA
"22","140",5783010,0.00381133700270274,0.314008103046683,0.00748122517512506,0.00336883387716777,0.300687704154065,0.0348313421557286,0.0233131189467077,0.230211256767669,0.039943904644813,0.00294898331491732,0,0.0156245622954136,0.0105095789217034,0.000919071556161929,0.00739338164727365,4.84176925165269e-06,0.000805462899078508,0.00335067724247407,0.000786614583063145,0,0,"Poland","Szczecin",14.5967695138068,53.4011228154549,2,56039.1411819458,4703337
"23","143",7961362,0.000621250484527647,0.00628158850206786,0.243270058565356,0.175144780503637,0.242673426983976,0.0245842357124321,0.093772146022251,0.0569823354345651,0.00669948182233141,0.0451636290373431,0.00128696572269921,0.0450184277514325,0.0122521749419258,0.00124815326824732,0.00570982703713259,0,0.00688362116934263,0.0316718420792824,0.000736054961450063,0,0,"Portugal","Funchal",-16.9303977019321,32.6730309871926,3,119440.390441895,2041170048
"24","148",1998206,0.000239715024376866,0.809748844713708,0.00172454691858597,0,0.0581701786502493,0.0582247275806398,0.0200154538621143,0.0257671131004511,0.00152486780642236,0.00091982508309954,0,0.00122209622030962,0.00644628231523677,0,0.00311779666360726,0,0,0.0128785520611989,0,0,0,"Romania","Timișoara",21.2465911252475,45.7542130759872,1,288522.818328857,4252315136
"25","164",21503016,0,0.124533693320044,0.033934123473656,0.00657512415932723,0.587092945473323,0.0937685206577533,0.0677084089041277,0.0280219760800066,0.0144570882521782,0.00837533674345962,0,0.0146937527275244,0.0137051937272427,0.00175663730148366,0.00301925088089968,2.0462245854256e-06,0.000433939127422869,0.00155308446033803,0.000368878486627178,0,0,"Slovenia","Ljubljana",14.5263628054739,46.073409901344,4,250334.989895821,5529303040
"26","165",190459093,0.000603940710775095,0.218387861376616,0.394436741332166,0.0589767588570843,0.17198377081424,0.00716658878555092,0.0166939154750674,0.0315240081501386,0.026099966778693,0.00602139799122114,0.000778361367078441,0.00842462270887744,0.0379718756720111,0.000874770520932807,0.00343883817613266,0.00076096655568973,0.00339026081574378,0.00617525255147571,0.0062901013605058,0,0,"Sweden","Gothenburg",12.0824535292088,57.7442765966772,5,496225.929421425,9631808512
"27","199",63734165,0,0.0271539448269229,0.374649201099599,0.155433055410705,0.385381843474375,0.0266358396630755,0.00318670527808751,0.00731132195738345,0.00776109642293109,0.000382008613433627,0.00018839189310788,0.00993081183381001,0.00103009116068281,3.13803436508504e-06,0.000203972233730527,0,0,0.000748578097791036,0,0,0,"Austria","Salzburg",13.0851259587833,47.7967795340819,5,NA,NA
"28","202",4021083,0,0.398196704718604,0.0904520001203656,0.0538638471277514,0.168110431940848,0,0.000843305149383885,0.0242069114216245,0.0744617805700604,0.000522247364702494,0.00146801247325658,0.0296845402096898,0.00937707577784393,0.0197770103228409,0.00192659539730963,0,0.0232793006262243,0.0907128751134955,0.0131173616659989,0,0,"Belgium","Bruges",3.24709379495624,51.174242483571,2,63030.5891113281,1033744512
"29","206",234598,0.00670508699988917,0.216472433695087,0.0315134826383857,8.52522186889914e-06,0.533896282150743,2.55756656066974e-05,0.0161893963290395,0.0420122933699349,0.0237811064032941,0.0137980715948133,0,0.00671361222175807,0.0430267947723339,0.000660704694839683,0.047076275160061,0.000319695820083718,0.00135977288808941,0.0153155610874773,0.00112532928669469,0,0,"Bulgaria","Pleven",24.6011438319279,43.4090306803046,4,NA,NA
"30","226",31559,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Cyprus","Nicosia",33.3312622926917,35.1190550767757,4,NA,NA
"31","227",3978834,0,0.37410231238599,0.0149528731281576,0.00107443537478568,0.213205929174225,0.14869532129262,0.00337058545292415,0.019264437772473,0.0614225172500285,0.00654613889395738,0.0418220513849032,0.00370962950452318,0.00386042745186153,0.00389485964983711,0.00312905740727057,0.000139990761112426,0.00257487495080217,0.0806761478362756,0.0175584103282519,0,0,"CzechRepublic","Ústí nad Labem",14.0035975268499,50.6625750211624,2,73110.2922363281,678315136
"32","229",4583427,0,0.227375716903531,0.0103828423579125,0.256954021521451,0.241178053015789,0.000149887845928385,0.0160966892240239,0.0583124810322058,0.0423048081708294,3.05448303201949e-06,0,0.0416677302812939,0.0882601599196409,0,0.00600838630134177,0,0,0.0113061689430201,0,0,0,"Denmark","Aarhus",10.0192974656936,56.2021692671965,3,209180.705841064,2809958912
"33","236",499424,0.00283126161337861,0.0216289165118216,0.142600275517396,0.00973921958095726,0.140313641314795,0.0139841096943679,0.00103719484846543,0.00301947843916191,0.0249006855897994,0.135143685525726,0,0.229021833151791,0.0325955500736849,0.00232267572243224,0.0498314057794579,0,0.178639793041584,0.00988939258025245,0.0025008810149292,0,0,"Spain","Puerto de la Cruz",-16.5478067023737,28.373762707643,3,NA,NA
"34","237",5966,0,0.0873281930942005,0,0,0.0169292658397586,0.190412336573919,0.188903788132752,0,0,0,0,0,0.0638618840093865,0.447368421052632,0,0,0,0,0.00519611129735166,0,0,"Estonia","Tartu",26.6710025504594,58.3455227131566,3,89594.2322998047,893273600
"35","239",9889903,0.00520470220992056,0.240943515826192,0.055117224102198,0.0543406745243103,0.166203551238066,0.0558536317292495,0.0377583076396199,0.0222442019906565,0.129001164116574,0.0047287622537855,0.00297333553220896,0.0245431123035282,0.146001229739058,0.00314017235558327,0.00388608462590584,0.000380792410198563,0.00115107296805641,0.0391566024459492,0.00737186198893963,0,0,"Finland","Oulu",25.5289501783536,65.0161421796776,3,83504.8348999023,872692416
"36","240",8335660,0.00238253479628488,0.562408855447559,0.00980522238191097,0.0260844372251267,0.11590719871012,0.000987204372539187,0.00149886151786421,0.0546962088184979,0.0162431049251049,0.00127104512420132,0,0.196853638464141,0.000741872869094949,0.000251209862206472,0.000783981112473397,0.00117639155147883,0.00415360031479211,0.00463862489592906,0.0001160076106751,0,0,"France","Lorient",-3.31024619502234,47.7989743448534,1,92881.9573726654,1527861376
"37","242",33056396,0.023494606006051,0.250430083182692,0.112772305849676,0.0472029074191875,0.27171597895911,0.0542002219479704,0.0206980821502743,0.0440613368741105,0.0867001956293118,0.0175156118047473,0.000379744966753181,0.0379431260443516,0.00369831605357099,0.00865091282183333,0.00212754590669836,0.000184744882654479,0.00313255564823219,0.0147207517722138,0.000369126749328632,1.84533123332622e-06,0,"UnitedKingdom","Belfast",-6.04686938904675,54.5783382220578,2,457659.460201263,6397180416
"38","249",482339,0.00466269573888904,0.211554529076023,0.0123460885393883,0.000387694132135282,0.404634499802006,0,0.00356595672338335,0.060973713508549,0.0275967732238115,0.00126052423710295,0,0,0.000735996881861098,0,0.00377949948065572,0.237797482683341,0,0.0265332058987559,0.00417134007409726,0,0,"Greece","Patras",21.7547764854553,38.2261862433643,4,NA,NA
"39","254",294875,0.00544298431538788,0.0188825773632895,0.00382195845697329,0.0130631623569309,0.0147045358202628,0.000878338278931751,0,0.430138194150064,0.0450563798219585,0.128410343365833,0,0.00886138194150064,0.0495125052988554,0.000247562526494277,0.00109877066553624,0.244001695633743,0.0358796100042391,0,0,0,0,"Croatia","Zadar",15.2951391833346,44.1203175599059,3,NA,NA
"40","256",2176807,0,0.695935376907553,0.0248487808060154,0.00129869115635883,0.16075058560543,4.08855723084316e-05,0.00284407391192696,0.0411575302725506,0.0141413547457354,0.00702450883335087,1.10253228696894e-05,0.00560407973697255,0.0181297652938455,0.000990441504460432,0.013050307170089,0.00823453801829928,0.001751188782469,0.00248207581103883,0.00170479054872573,0,0,"Hungary","Szombathely",16.6365108363733,47.232919853685,1,54497.3544921875,499742592
"41","259",33199071,0,0.00953053776715619,0.930537755107666,0.00582058455792332,0.0282526580337143,0.00157447176759856,0.00122777531937565,0,0,0,0,0.0225634626944832,0.000241874237986961,0,0,0,0,0.000250880514096313,0,0,0,"Ireland","Cork",-8.43833752184216,51.8895893802205,5,138513.921344757,3656160256
"42","263",856070,3.50438632354831e-05,0.102010349620942,0.0102538343827023,0.00355928837595056,0.416856098216267,0.0294835702687864,0.00757648323151144,0.0527561998434707,0.100155361127011,0.0403857161213452,0.0132781197799245,0.00944081675563914,0.0637564685130889,0.00360367726938218,0.0651815856179985,0.00826100669337788,0.0630964757554873,0.00918149216769657,0.00112841239618256,0,0,"Italy","Sanremo",7.78060824843299,43.8371085582936,4,NA,NA
"43","279",18748352,0.00036621885486255,0.102822157382153,0.0434360310708909,0.0595689157105649,0.510825484821279,0.020709553565028,0.05704848084781,0.0659270212123177,0.0393758342066545,0.00965578201220033,0,0.0179741131380507,0.0376057052907904,0.0101932692537456,0.00454311930989988,0.00688748536404693,0.00539044711769866,0.00632951632228795,0.00134086451971885,0,0,"Latvia","Riga",24.1573897469759,56.9283525123114,4,556671.50630188,13209229312
"44","296",786971812,0.068466476407925,0.188491343321456,0.055254277646224,0.398784416690137,0.179067665259655,0.00336921724459427,0.0208280331646745,0.0274223430508334,0.0183972561395884,0.000800728806789842,0,0.00904697079544191,0.0129019449555583,0.00548949649037747,0.00112423721727914,0.00124985035677491,0.000467242910601225,0.00875227409034569,8.62254517446427e-05,0,0,"Netherlands","Rotterdam [The Hague]",4.47372516392969,51.9276328816526,3,794069.582046509,16900833792
"45","310",143727313,0.00032995816181438,0.132862332158119,0.224193901127199,0.091317215399414,0.270174945801707,0.0202095199539422,0.0438293242148067,0.0720123112577774,0.025892719500016,0.0180247786306281,0.0020547799429048,0.0386793427356427,0.0250028607993249,0.00171565859580218,0.00427501208486379,0.000461081464731759,0.00596782881483354,0.0207521725533128,0.00224425680315891,0,0,"Portugal","Lisbon",-9.19216247123091,38.8061617235879,3,NA,NA
"46","315",335710,0.00162938250275535,0.368103422596884,0.000309791188823687,0,0.273456256888386,0,0.00191236483870007,0.222602841738405,0.000834053200679158,0.000789371779214203,0,0.0196776980131661,0.000488516874683507,0,0.110196300378303,0,0,0,0,0,0,"Romania","Arad",21.3031141882594,46.1484588570216,2,112052.391143799,1146982912
