"","from_fua","to_fua","weight","from_turnover","from_country","to_turnover","to_country","distance","sim"
"1","1001","1116",69176965.99,5504557,"Poland",1899067,"Poland",0.234063556787311,0.0144626421507372
"2","1001","1711",20435400,5504557,"Poland",20143768,"Poland",0.891831826531829,0.0139677109614727
"3","1001","2663",8035482,5504557,"Poland",35159603,"Poland",2.98162746882913,0.022857535131918
"4","1003","1118",220853.36,60318324,"Portugal",2009381,"Portugal",0.924638155285131,0.136759015166798
"5","1003","114",5799.42,60318324,"Portugal",20419624,"Malta",23.5576273547579,0.127065959693053
"6","1003","1183",36976600,60318324,"Portugal",1082312,"Spain",2.37383471401143,0.160525312312232
"7","1003","1228",4472432.2,60318324,"Portugal",3752752,"Portugal",0.393841503377712,0.144873740051398
"8","1003","143",292475,60318324,"Portugal",7961362,"Portugal",11.9434072779139,0.164491929060179
"9","1003","1529",3864300,60318324,"Portugal",43704416,"Poland",27.8075895513184,0.191371090909786
"10","1003","2008",33400,60318324,"Portugal",28900029,"Spain",4.52709531500452,0.135206559231408
"11","1003","2702",1372495,60318324,"Portugal",2765953350,"France",13.1907953837198,0.179641279662881
"12","1003","2787",14859,60318324,"Portugal",11122748,"Poland",29.9235110831659,0.152008811540172
"13","1003","310",97395386.84,60318324,"Portugal",143727313,"Portugal",2.43345648955397,0.158998852020024
"14","1003","3147",2524873,60318324,"Portugal",1052209658,"Spain",4.88207511101272,0.164739344304317
"15","1003","3222",33100,60318324,"Portugal",178501208,"Poland",31.5161460062757,0.128174771356784
"16","1003","4490",1058490,60318324,"Portugal",3938002,"Spain",10.3605639012705,0.132910766353107
"17","1003","4523",417480,60318324,"Portugal",149514536,"Spain",10.647697591871,0.154118230552397
"18","1003","56",150000,60318324,"Portugal",15575981,"Finland",36.3751572072064,0.129477477761147
"19","1003","878",335806.75,60318324,"Portugal",1290037,"Portugal",0.349291090500246,0.170655939391722
"20","1003","952",297717.43,60318324,"Portugal",16596994,"Spain",1.07559904187516,0.161981961075266
"21","1017","1132",199200,9154475,"Sweden",12434504,"Sweden",1.08141250559022,0.109061034820433
"22","1017","1242",1102612,9154475,"Sweden",13495308,"Sweden",2.00243060370313,0.112753920889005
"23","1017","1345",477500,9154475,"Sweden",8706778,"Sweden",1.50367303093924,0.0964499393259965
"24","1017","1445",236320,9154475,"Sweden",573785200,"Sweden",2.02101887874437,0.152542682866319
"25","1017","165",698000,9154475,"Sweden",190459093,"Sweden",4.14969463926275,0.15693586579077
"26","1017","279",6800,9154475,"Sweden",18748352,"Latvia",8.17567775449032,0.159572769479185
"27","1017","2818",90000,9154475,"Sweden",55256201,"Germany",10.05110530684,0.18153310512499
"28","1017","481",102600,9154475,"Sweden",59367319,"Sweden",4.33386482994642,0.141822349032929
"29","1017","54",91900,9154475,"Sweden",18722735,"Estonia",8.65449492342105,0.146499403417157
"30","1017","624",1500,9154475,"Sweden",21139075,"Sweden",4.07035898096498,0.140868327781279
"31","1017","687",1139700,9154475,"Sweden",355526652,"Finland",8.90722361934415,0.129089457437045
"32","1017","761",12284900,9154475,"Sweden",9545322,"Sweden",1.13484325705306,0.114960641804745
"33","1017","893",799896,9154475,"Sweden",12126575,"Sweden",0.599951704014255,0.0900893108982442
"34","103","1003",5428200,344268358,"Luxembourg",60318324,"Portugal",16.9100557518061,0.135087438339112
"35","103","1064",109127700,344268358,"Luxembourg",476808537,"Germany",1.53491472430747,0.0766189831454572
"36","103","11",27500,344268358,"Luxembourg",6852175,"Belgium",3.5556601177604,0.0826617038543695
"37","103","1121",199600,344268358,"Luxembourg",864494,"Romania",18.4647790337068,0.175665069232331
"38","103","114",436149,344268358,"Luxembourg",20419624,"Malta",16.0735834374403,0.138113760984633
"39","103","1160",71827966.08,344268358,"Luxembourg",86592146,"Belgium",2.27313336754727,0.173255924722905
"40","103","1177",6500,344268358,"Luxembourg",18235272,"CzechRepublic",10.5251051128941,0.15799965537221
"41","103","1226",7118400,344268358,"Luxembourg",1973316,"Poland",11.2068638102114,0.186729410541549
"42","103","1228",1462100,344268358,"Luxembourg",3752752,"Portugal",16.6635595971772,0.139019679431633
"43","103","1269",550472717.16,344268358,"Luxembourg",424748060,"Belgium",2.17475614384592,0.145119374348811
"44","103","1286",163000,344268358,"Luxembourg",3472485,"CzechRepublic",11.164510531411,0.142656221343323
"45","103","1287",30000,344268358,"Luxembourg",12225144,"Germany",0.892599731111588,0.114069359118901
"46","103","1309",209564,344268358,"Luxembourg",39499312,"Italy",5.88207535488246,0.11062414768932
"47","103","1372",50922600,344268358,"Luxembourg",15295909,"Belgium",1.8530427004523,0.155940068537686
"48","103","1389",121489600,344268358,"Luxembourg",17430217,"CzechRepublic",12.0911069578429,0.154265101717855
"49","103","1397",6381000,344268358,"Luxembourg",27847131,"France",8.19706842107435,0.137061883261657
"50","103","1427",334970300,344268358,"Luxembourg",1382117346,"Netherlands",3.04553995966549,0.176637614601381
"51","103","143",1794000,344268358,"Luxembourg",7961362,"Portugal",28.6128373199773,0.107613937407003
"52","103","1445",352892853,344268358,"Luxembourg",573785200,"Sweden",15.3665523084717,0.0732574093070097
"53","103","148",105750,344268358,"Luxembourg",1998206,"Romania",15.6168855227205,0.169665385028107
"54","103","1496",180800,344268358,"Luxembourg",6786753,"France",7.00324765201647,0.134683602600326
"55","103","15",4477250,344268358,"Luxembourg",33198824,"Bulgaria",18.5287915914912,0.144970534365751
"56","103","1524",45710300,344268358,"Luxembourg",46015632,"Netherlands",2.39838659644553,0.146625631372813
"57","103","1529",2410940.88,344268358,"Luxembourg",43704416,"Poland",11.148877551671,0.187638869566331
"58","103","1531",2200,344268358,"Luxembourg",5488815,"Romania",19.3568295653826,0.190459874844399
"59","103","1589",1476500,344268358,"Luxembourg",3936241,"France",9.07856720277422,0.132353557143489
"60","103","1600",413792548.28,344268358,"Luxembourg",792384486,"Italy",5.07632664657773,0.131447895760851
"61","103","1623",308100,344268358,"Luxembourg",1971648,"Romania",19.8701480157222,0.168392538100015
"62","103","164",4935300,344268358,"Luxembourg",21503016,"Slovenia",9.12905564813909,0.16953341246498
"63","103","165",9635700,344268358,"Luxembourg",190459093,"Sweden",10.0721983792466,0.0981307103562098
"64","103","1656",233924.5,344268358,"Luxembourg",21946943,"Belgium",1.16315768702956,0.112439415456704
"65","103","1680",14900,344268358,"Luxembourg",46106233,"France",6.50411552335667,0.198831413993962
"66","103","1690",305500,344268358,"Luxembourg",10806732,"Italy",4.84396642567478,0.156111966674723
"67","103","1711",8725430.5,344268358,"Luxembourg",20143768,"Poland",11.0022740185539,0.16176040929835
"68","103","1761",4226600,344268358,"Luxembourg",31286729,"Germany",2.75717024079726,0.149393793754937
"69","103","1768",683700,344268358,"Luxembourg",7896814,"France",5.83366355846178,0.136351857302635
"70","103","1800",68160,344268358,"Luxembourg",99227,"Romania",19.8969153937098,0.181399160691786
"71","103","1846",37325000,344268358,"Luxembourg",22485007,"Germany",1.61972752518314,0.0670584880265486
"72","103","1877",17735400,344268358,"Luxembourg",15517567,"Netherlands",2.18416066690744,0.1656868948568
"73","103","1931",22875647.1,344268358,"Luxembourg",2395609,"Spain",17.8424292115044,0.164843061425122
"74","103","1934",15566200,344268358,"Luxembourg",7043895,"UnitedKingdom",11.8184798049837,0.133921066180309
"75","103","1943",67971590,344268358,"Luxembourg",68185306,"Italy",5.31593217773432,0.140749182287149
"76","103","1961",1926600,344268358,"Luxembourg",3149830,"Poland",12.4153598551104,0.13840599020399
"77","103","2004",36165346.1,344268358,"Luxembourg",14718179,"Germany",3.26081343207567,0.0941023352707008
"78","103","2037",11367702.61,344268358,"Luxembourg",9116023,"Poland",13.2812729666104,0.172447999745689
"79","103","2085",29777667.02,344268358,"Luxembourg",6821150,"France",5.86489659470049,0.136103491494614
"80","103","2114",1421600,344268358,"Luxembourg",4443234,"Romania",20.6400434933959,0.18825834169854
"81","103","2159",3718200,344268358,"Luxembourg",24033872,"France",5.04856794146522,0.180452729010252
"82","103","2186",1410012.24,344268358,"Luxembourg",1951106,"Poland",12.5422367973989,0.205094716869975
"83","103","2233",1344440,344268358,"Luxembourg",11229465,"France",6.15577915707891,0.0768352082265051
"84","103","2242",47500,344268358,"Luxembourg",4658998,"Italy",5.94537881638392,0.161179188195805
"85","103","227",9476700,344268358,"Luxembourg",3978834,"CzechRepublic",7.95335054388304,0.124047530183131
"86","103","2304",281072.02,344268358,"Luxembourg",107337113,"France",7.60175387127647,0.171852889666367
"87","103","2305",600,344268358,"Luxembourg",45384085,"UnitedKingdom",11.0807005578857,0.113264602890159
"88","103","2312",57616191,344268358,"Luxembourg",48669985,"Italy",5.77585283806589,0.12553554382546
"89","103","2374",408500,344268358,"Luxembourg",119745355,"UnitedKingdom",9.76380262226426,0.16536577185647
"90","103","2381",32500,344268358,"Luxembourg",3865404,"Italy",6.84221960158522,0.145965864808965
"91","103","2449",1652200,344268358,"Luxembourg",31668411,"Italy",6.40726923380683,0.132901429158276
"92","103","2515",65100,344268358,"Luxembourg",2521361,"Italy",7.07121716106233,0.157820127284413
"93","103","2573",323600,344268358,"Luxembourg",1022490,"France",4.39133287315673,0.159649268401197
"94","103","2593",17258000,344268358,"Luxembourg",39754212,"Netherlands",1.32956471739871,0.170885237188332
"95","103","2637",6200,344268358,"Luxembourg",1991710,"Spain",17.1656685728138,0.0685108683667407
"96","103","2639",38661.3,344268358,"Luxembourg",14057169,"France",4.56092795087145,0.186939382259622
"97","103","2663",34535900,344268358,"Luxembourg",35159603,"Poland",12.8676467446687,0.133943314682216
"98","103","2702",1244530510.53,344268358,"Luxembourg",2765953350,"France",3.98973791354278,0.107342550485066
"99","103","2710",20315830,344268358,"Luxembourg",21265492,"Italy",6.67942654330236,0.132940594984332
"100","103","2764",12762600,344268358,"Luxembourg",5888534,"France",3.97115196994146,0.167699875590137
"101","103","2765",36534100,344268358,"Luxembourg",17654955,"UnitedKingdom",9.7014948919808,0.155722283117312
"102","103","2772",9251600,344268358,"Luxembourg",43981931,"Italy",6.4292992658405,0.130823918463336
"103","103","279",2803641.5,344268358,"Luxembourg",18748352,"Latvia",19.4607309583176,0.158886795423646
"104","103","2832",1084606.6,344268358,"Luxembourg",23956360,"Italy",6.92945533483683,0.170550226040779
"105","103","2877",3852200,344268358,"Luxembourg",35087196,"Germany",4.39900155492846,0.0879708221973393
"106","103","2891",1671100,344268358,"Luxembourg",13891127,"Italy",6.14904960117695,0.134998559232449
"107","103","2938",372025,344268358,"Luxembourg",4272917,"France",3.59494401857612,0.183884235495805
"108","103","296",165686700,344268358,"Luxembourg",786971812,"Netherlands",2.82680498184249,0.152234119530039
"109","103","2988",9032700,344268358,"Luxembourg",61146556,"Germany",2.32151821733077,0.100495874613673
